utc_hour,et_hour,cum_traffic_fraction,hourly_traffic_share,active_date,map_computed_at_hour
0,20,0.836454,0.084044,2026-03-21,20
1,21,0.911615,0.075161,2026-03-21,20
2,22,0.964481,0.052866,2026-03-21,20
3,23,1.000000,0.035519,2026-03-21,20
4,0,0.029899,0.029899,2026-03-21,20
5,1,0.049737,0.019838,2026-03-21,20
6,2,0.057510,0.007773,2026-03-21,20
7,3,0.063668,0.006158,2026-03-21,20
8,4,0.067168,0.003500,2026-03-21,20
9,5,0.069440,0.002272,2026-03-21,20
10,6,0.071560,0.002120,2026-03-21,20
11,7,0.074487,0.002927,2026-03-21,20
12,8,0.082210,0.007723,2026-03-21,20
13,9,0.095873,0.013663,2026-03-21,20
14,10,0.118167,0.022294,2026-03-21,20
15,11,0.148958,0.030791,2026-03-21,20
16,12,0.191914,0.042956,2026-03-21,20
17,13,0.244780,0.052866,2026-03-21,20
18,14,0.302610,0.057830,2026-03-21,20
19,15,0.370434,0.067824,2026-03-21,20
20,16,0.459072,0.088638,2026-03-21,20
21,17,0.556425,0.097353,2026-03-21,20
22,18,0.654973,0.098548,2026-03-21,20
23,19,0.752410,0.097437,2026-03-21,20
